Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,04:04,05:51,14:00,18:11,22:01,23:44
2,04:05,05:52,14:00,18:11,22:00,23:43
3,04:06,05:53,14:00,18:11,22:00,23:43
4,04:07,05:53,14:00,18:11,21:59,23:42
5,04:09,05:54,14:00,18:11,21:59,23:41
6,04:10,05:55,14:00,18:11,21:59,23:40
7,04:11,05:56,14:01,18:11,21:58,23:39
8,04:12,05:57,14:01,18:11,21:58,23:38
9,04:14,05:57,14:01,18:11,21:57,23:37
10,04:15,05:58,14:01,18:11,21:56,23:36
11,04:16,05:59,14:01,18:11,21:56,23:35
12,04:18,06:00,14:01,18:11,21:55,23:34
13,04:19,06:01,14:01,18:10,21:54,23:32
14,04:21,06:02,14:02,18:10,21:53,23:31
15,04:23,06:03,14:02,18:10,21:52,23:30
16,04:24,06:04,14:02,18:10,21:51,23:28
17,04:26,06:05,14:02,18:09,21:51,23:27
18,04:27,06:07,14:02,18:09,21:50,23:25
19,04:29,06:08,14:02,18:09,21:49,23:23
20,04:31,06:09,14:02,18:09,21:47,23:22
21,04:33,06:10,14:02,18:08,21:46,23:20
22,04:34,06:11,14:02,18:08,21:45,23:18
23,04:36,06:12,14:02,18:07,21:44,23:17
24,04:38,06:14,14:02,18:07,21:43,23:15
25,04:40,06:15,14:02,18:07,21:42,23:13
26,04:42,06:16,14:02,18:06,21:40,23:11
27,04:44,06:17,14:02,18:06,21:39,23:09
28,04:45,06:19,14:02,18:05,21:38,23:07
29,04:47,06:20,14:02,18:05,21:36,23:05
30,04:49,06:21,14:02,18:04,21:35,23:04
31,04:51,06:23,14:02,18:03,21:34,23:02
