Day,Sobh,Chourouk,Dohr,Asr,Maghrib,Icha
01,06:29,08:23,12:41,14:38,17:00,18:38
02,06:30,08:24,12:41,14:37,16:59,18:38
03,06:31,08:25,12:42,14:37,16:59,18:37
04,06:32,08:26,12:42,14:37,16:58,18:37
05,06:33,08:28,12:42,14:37,16:58,18:37
06,06:34,08:29,12:43,14:37,16:58,18:37
07,06:35,08:30,12:43,14:36,16:57,18:37
08,06:36,08:31,12:44,14:36,16:57,18:37
09,06:37,08:32,12:44,14:36,16:57,18:37
10,06:38,08:33,12:45,14:36,16:57,18:37
11,06:38,08:34,12:45,14:36,16:57,18:37
12,06:39,08:35,12:45,14:37,16:57,18:37
13,06:40,08:36,12:46,14:37,16:57,18:37
14,06:41,08:37,12:46,14:37,16:57,18:37
15,06:42,08:37,12:47,14:37,16:57,18:37
16,06:42,08:38,12:47,14:37,16:57,18:38
17,06:43,08:39,12:48,14:38,16:58,18:38
18,06:44,08:40,12:48,14:38,16:58,18:38
19,06:44,08:40,12:49,14:38,16:58,18:39
20,06:45,08:41,12:49,14:39,16:59,18:39
21,06:45,08:41,12:50,14:39,16:59,18:40
22,06:46,08:42,12:50,14:40,17:00,18:40
23,06:46,08:42,12:51,14:40,17:00,18:41
24,06:47,08:43,12:51,14:41,17:01,18:41
25,06:47,08:43,12:52,14:42,17:02,18:42
26,06:48,08:43,12:52,14:42,17:02,18:43
27,06:48,08:44,12:53,14:43,17:03,18:43
28,06:48,08:44,12:53,14:44,17:04,18:44
29,06:48,08:44,12:54,14:44,17:05,18:45
30,06:49,08:44,12:54,14:45,17:06,18:46
31,06:49,08:44,12:55,14:46,17:06,18:46
