Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:28,07:44,12:44,15:07,17:38,18:50
2,06:29,07:46,12:44,15:06,17:37,18:48
3,06:31,07:48,12:44,15:04,17:35,18:47
4,06:32,07:49,12:44,15:03,17:33,18:45
5,06:34,07:51,12:44,15:02,17:32,18:44
6,06:35,07:53,12:44,15:01,17:30,18:42
7,06:37,07:54,12:44,14:59,17:29,18:41
8,06:38,07:56,12:44,14:58,17:27,18:40
9,06:40,07:57,12:44,14:57,17:26,18:39
10,06:41,07:59,12:45,14:56,17:24,18:37
11,06:42,08:01,12:45,14:55,17:23,18:36
12,06:44,08:02,12:45,14:54,17:22,18:35
13,06:45,08:04,12:45,14:53,17:20,18:34
14,06:47,08:05,12:45,14:52,17:19,18:33
15,06:48,08:07,12:45,14:51,17:18,18:32
16,06:49,08:09,12:45,14:50,17:17,18:31
17,06:51,08:10,12:46,14:49,17:16,18:30
18,06:52,08:12,12:46,14:48,17:14,18:29
19,06:53,08:13,12:46,14:47,17:13,18:28
20,06:55,08:15,12:46,14:47,17:12,18:27
21,06:56,08:16,12:47,14:46,17:11,18:27
22,06:57,08:18,12:47,14:45,17:10,18:26
23,06:59,08:19,12:47,14:44,17:09,18:25
24,07:00,08:21,12:47,14:44,17:09,18:24
25,07:01,08:22,12:48,14:43,17:08,18:24
26,07:02,08:24,12:48,14:43,17:07,18:23
27,07:04,08:25,12:48,14:42,17:06,18:23
28,07:05,08:26,12:49,14:42,17:06,18:22
29,07:06,08:28,12:49,14:41,17:05,18:22
30,07:07,08:29,12:49,14:41,17:04,18:21
