Day,Sobh,Chourouk,Dohr,Asr,Maghrib,Icha
01,03:44,05:52,13:49,18:03,21:49,23:39
02,03:42,05:51,13:49,18:03,21:50,23:40
03,03:41,05:50,13:50,18:04,21:51,23:40
04,03:40,05:50,13:50,18:04,21:51,23:41
05,03:39,05:49,13:50,18:05,21:52,23:41
06,03:37,05:49,13:50,18:05,21:53,23:42
07,03:36,05:48,13:50,18:05,21:54,23:43
08,03:35,05:48,13:50,18:06,21:55,23:43
09,03:34,05:48,13:51,18:06,21:55,23:43
10,03:34,05:47,13:51,18:06,21:56,23:44
11,03:33,05:47,13:51,18:07,21:57,23:44
12,03:32,05:47,13:51,18:07,21:57,23:45
13,03:31,05:47,13:51,18:07,21:58,23:45
14,03:31,05:47,13:52,18:08,21:59,23:45
15,03:30,05:47,13:52,18:08,21:59,23:46
16,03:30,05:47,13:52,18:08,21:59,23:46
17,03:30,05:47,13:52,18:09,22:00,23:46
18,03:30,05:47,13:52,18:09,22:00,23:47
19,03:30,05:47,13:53,18:09,22:01,23:47
20,03:30,05:47,13:53,18:09,22:01,23:47
21,03:30,05:47,13:53,18:10,22:01,23:47
22,03:30,05:47,13:53,18:10,22:01,23:48
23,03:31,05:48,13:54,18:10,22:01,23:48
24,03:31,05:48,13:54,18:10,22:01,23:48
25,03:31,05:48,13:54,18:10,22:02,23:48
26,03:32,05:49,13:54,18:10,22:02,23:48
27,03:33,05:49,13:54,18:11,22:02,23:48
28,03:33,05:50,13:55,18:11,22:01,23:48
29,03:34,05:50,13:55,18:11,22:01,23:48
30,03:35,05:51,13:55,18:11,22:01,23:48
