Day,Sobh,Chourouk,Dohr,Asr,Maghrib,Icha
1,06:22,07:33,13:08,15:59,18:37,19:45
2,06:20,07:31,13:08,16:00,18:39,19:46
3,06:18,07:29,13:08,16:01,18:40,19:48
4,06:16,07:27,13:07,16:03,18:42,19:50
5,06:14,07:25,13:07,16:04,18:44,19:51
6,06:12,07:23,13:07,16:05,18:45,19:53
7,06:10,07:20,13:07,16:06,18:47,19:54
8,06:08,07:18,13:06,16:07,18:48,19:56
9,06:06,07:16,13:06,16:08,18:50,19:57
10,06:04,07:14,13:06,16:09,18:51,19:59
11,06:02,07:12,13:06,16:10,18:53,20:00
12,06:00,07:10,13:05,16:11,18:54,20:02
13,05:58,07:08,13:05,16:12,18:56,20:04
14,05:56,07:06,13:05,16:13,18:58,20:05
15,05:53,07:04,13:05,16:14,18:59,20:07
16,05:51,07:02,13:04,16:15,19:01,20:08
17,05:49,07:00,13:04,16:16,19:02,20:10
18,05:47,06:58,13:04,16:17,19:04,20:12
19,05:45,06:56,13:03,16:17,19:05,20:13
20,05:42,06:53,13:03,16:18,19:07,20:15
21,05:40,06:51,13:03,16:19,19:08,20:16
22,05:38,06:49,13:02,16:20,19:10,20:18
23,05:36,06:47,13:02,16:21,19:11,20:20
24,05:34,06:45,13:02,16:22,19:13,20:21
25,05:31,06:43,13:02,16:23,19:14,20:23
26,05:29,06:41,13:01,16:23,19:16,20:25
27,05:27,06:39,13:01,16:24,19:17,20:26
28,05:24,06:37,13:01,16:25,19:19,20:28
29,05:22,06:34,13:00,16:26,19:20,20:30
30,05:20,06:32,13:00,16:27,19:22,20:31
31,05:18,06:30,13:00,16:27,19:23,20:33
