Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,04:10,05:52,14:00,18:03,21:49,23:28
2,04:08,05:51,14:00,18:04,21:50,23:30
3,04:07,05:50,14:00,18:04,21:51,23:30
4,04:06,05:50,14:00,18:05,21:52,23:30
5,04:05,05:49,14:00,18:05,21:53,23:30
6,04:04,05:49,14:00,18:05,21:53,23:30
7,04:03,05:48,14:00,18:06,21:54,23:30
8,04:03,05:48,14:00,18:06,21:55,23:30
9,04:02,05:48,14:00,18:06,21:56,23:30
10,04:01,05:47,14:00,18:07,21:56,23:30
11,04:01,05:47,14:00,18:07,21:57,23:30
12,04:00,05:47,14:00,18:07,21:58,23:30
13,04:00,05:47,14:00,18:08,21:58,23:30
14,03:59,05:47,14:00,18:08,21:59,23:30
15,03:59,05:46,14:00,18:08,21:59,23:30
16,03:59,05:46,14:00,18:09,21:59,23:30
17,03:59,05:46,14:00,18:09,22:00,23:30
18,03:58,05:47,14:00,18:09,22:00,23:30
19,03:59,05:47,14:00,18:09,22:01,23:30
20,03:59,05:47,14:00,18:10,22:01,23:30
21,03:59,05:47,14:00,18:10,22:01,23:30
22,03:59,05:47,14:00,18:10,22:01,23:30
23,03:59,05:48,14:00,18:10,22:01,23:30
24,04:00,05:48,14:00,18:10,22:01,23:30
25,04:00,05:48,14:00,18:11,22:01,23:30
26,04:01,05:49,14:00,18:11,22:01,23:30
27,04:02,05:49,14:00,18:11,22:01,23:30
28,04:02,05:50,14:00,18:11,22:01,23:30
29,04:03,05:50,14:00,18:11,22:01,23:30
30,04:04,05:51,14:00,18:11,22:01,23:30
