Day,Sobh,Chourouk,Dohr,Asr,Maghrib,Icha
01,06:19,07:32,13:08,16:00,18:38,20:08
02,06:17,07:30,13:08,16:01,18:39,20:09
03,06:15,07:28,13:08,16:02,18:41,20:11
04,06:13,07:26,13:07,16:03,18:42,20:12
05,06:11,07:24,13:07,16:04,18:44,20:14
06,06:09,07:22,13:07,16:05,18:45,20:15
07,06:07,07:20,13:07,16:06,18:47,20:17
08,06:05,07:18,13:06,16:07,18:49,20:19
09,06:03,07:16,13:06,16:08,18:50,20:20
10,06:01,07:14,13:06,16:09,18:52,20:22
11,05:59,07:12,13:06,16:10,18:53,20:23
12,05:57,07:10,13:05,16:11,18:55,20:25
13,05:55,07:08,13:05,16:12,18:56,20:26
14,05:53,07:06,13:05,16:13,18:58,20:28
15,05:50,07:04,13:05,16:14,18:59,20:29
16,05:48,07:02,13:04,16:15,19:01,20:31
17,05:46,06:59,13:04,16:16,19:02,20:32
18,05:44,06:57,13:04,16:17,19:04,20:34
19,05:42,06:55,13:03,16:18,19:05,20:35
20,05:40,06:53,13:03,16:19,19:07,20:37
21,05:37,06:51,13:03,16:20,19:08,20:38
22,05:35,06:49,13:02,16:21,19:10,20:40
23,05:33,06:47,13:02,16:21,19:11,20:41
24,05:31,06:45,13:02,16:22,19:13,20:43
25,05:28,06:43,13:02,16:23,19:14,20:44
26,05:26,06:40,13:01,16:24,19:16,20:46
27,05:24,06:38,13:01,16:25,19:17,20:47
28,05:22,06:36,13:01,16:26,19:19,20:49
29,05:19,06:34,13:00,16:26,19:20,20:50
30,05:17,06:32,13:00,16:27,19:22,20:52
31,05:15,06:30,13:00,16:28,19:23,20:53
